id,revealed,lapses,replied,AUC
125,13,4,126,0.8481527267589715
119,34,20,287,0
133,41,14,321,0
114,39,0,335,0
26,34,24,329,0
149,31,12,328,0
98,43,0,330,0
97,35,6,320,0
108,46,0,334,0
126,44,0,342,0
89,42,0,357,0
116,16,4,140,0
113,24,0,270,0
72,32,0,348,0
148,36,1,285,0
117,43,0,291,0.8435817188677939
22,13,0,180,0
110,42,0,279,0
36,31,4,333,0
55,41,2,325,0
30,37,14,338,0
69,15,5,122,0
104,36,0,297,0
50,49,2,352,0
93,44,9,324,0
145,29,0,268,0
17,41,2,296,0
143,41,0,328,0
34,52,30,325,0
78,41,0,314,0
150,39,1,334,0.7078358800063368
128,42,0,307,0
37,38,7,284,0
49,34,6,254,0
77,37,0,268,0
61,38,0,304,0
19,35,0,262,0
121,32,3,259,0
90,20,0,212,0
146,29,4,262,0
112,15,0,162,0
132,7,0,61,0
57,45,0,338,0
47,16,0,101,0
58,20,1,128,0
29,42,0,335,0.7918562973625776
32,47,0,338,0
65,35,2,267,0
91,36,14,338,0
84,27,0,242,0
111,23,0,248,0
70,31,8,263,0
42,36,1,296,0
14,18,0,154,0
62,37,1,264,0
59,51,6,272,0
0,16,0,177,0
43,32,1,278,0
83,35,0,324,0
94,33,0,332,0
134,35,5,312,0.7885557676846242
45,28,0,200,0
102,42,1,374,0
124,14,8,132,0
52,33,1,324,0
56,40,27,300,0
27,38,3,305,0
137,34,16,252,0
130,43,1,357,0
28,25,8,269,0
35,40,13,344,0
73,28,17,243,0
95,13,3,98,0
80,29,13,264,0
23,52,0,311,0
48,29,4,349,0.8641115346729966
131,24,2,184,0
122,40,15,321,0
74,30,36,330,0
46,34,0,285,0
99,23,5,232,0
82,28,0,236,0
51,19,3,190,0
88,34,1,300,0
38,45,22,355,0
1,26,5,280,0
86,17,0,188,0
12,35,2,303,0
66,45,0,332,0
109,23,0,250,0
11,34,0,329,0.7501666867494075
96,34,4,348,0
15,42,0,316,0
135,50,0,408,0
41,30,2,221,0
105,40,5,343,0
67,34,10,282,0
10,23,7,253,0
2,40,6,338,0
7,33,14,235,0
100,40,0,344,0
101,23,0,265,0
92,19,0,177,0
71,33,6,371,0
147,39,0,328,0
39,24,17,207,0.8645991737353317
103,38,0,320,0
31,24,14,231,0
138,37,0,336,0
118,18,0,200,0
75,39,0,302,0
115,21,0,170,0
54,30,1,310,0
79,42,0,343,0
144,44,0,333,0
120,17,5,144,0
107,22,11,229,0
140,24,0,169,0
53,9,1,114,0
16,42,17,346,0
123,37,0,320,0.8746558139511736
5,39,15,336,0
85,40,4,368,0
64,32,0,307,0
63,47,31,342,0
129,32,1,305,0
40,40,20,314,0
127,30,0,318,0
4,32,0,332,0
24,26,8,288,0
68,45,2,348,0
3,39,0,355,0
87,42,4,325,0
142,49,0,342,0
25,29,17,290,0
33,8,5,62,0.8813691920451712
139,30,0,211,0
9,33,0,340,0
13,33,1,315,0
20,37,0,234,0
60,4,4,50,0
136,41,0,317,0
21,31,0,326,0
44,41,1,278,0
76,23,16,268,0
6,35,0,331,0
81,36,0,334,0
141,46,0,343,0
8,35,8,345,0
18,55,4,348,0
106,31,0,268,0
